City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gambela,8.25,34.59,79.93,34,100,1.66,ET,1577571045
1,riberalta,-11.0,-66.08,93.2,56,75,11.41,BO,1577571045
2,avarua,-21.21,-159.78,78.8,74,100,18.34,CK,1577571046
3,bethel,60.79,-161.76,-14.8,68,1,17.22,US,1577571043
4,abnub,27.27,31.15,51.8,57,0,3.58,EG,1577571046
5,hobart,-42.88,147.33,69.01,68,75,8.05,AU,1577570898
6,port alfred,-33.59,26.89,66.99,87,24,3.0,ZA,1577571047
7,chuy,-33.69,-53.46,75.83,83,100,13.6,UY,1577571047
8,rikitea,-23.12,-134.97,76.78,82,87,12.57,PF,1577571047
9,manokwari,-0.87,134.08,72.43,78,67,3.91,ID,1577570776
10,tasiilaq,65.61,-37.64,28.4,74,100,25.28,GL,1577570896
11,margate,-43.03,147.26,69.01,68,75,8.05,AU,1577571047
12,minab,27.15,57.07,55.4,82,0,4.7,IR,1577571048
13,pangnirtung,66.15,-65.72,-7.87,75,0,3.49,CA,1577571048
14,tual,-5.67,132.75,83.82,73,100,12.46,ID,1577571048
15,hermanus,-34.42,19.24,69.01,80,84,8.01,ZA,1577571048
16,bubaque,11.28,-15.83,80.64,66,0,13.06,GW,1577570900
17,cape town,-33.93,18.42,69.01,68,4,23.04,ZA,1577570818
18,ambilobe,-13.19,49.05,74.62,92,100,3.42,MG,1577571049
19,northam,-31.65,116.67,63.0,87,2,4.56,AU,1577571049
20,honggang,29.51,114.87,42.4,93,100,2.44,CN,1577571049
21,mataura,-46.19,168.86,51.03,66,100,1.86,NZ,1577570867
22,new norfolk,-42.78,147.06,69.01,68,75,8.05,AU,1577571050
23,ushuaia,-54.81,-68.31,59.0,44,75,12.75,AR,1577570767
24,namibe,-15.19,12.15,73.29,78,100,4.85,AO,1577571050
25,la ronge,55.1,-105.3,8.6,92,90,3.36,CA,1577571050
26,talnakh,69.49,88.39,-11.2,76,100,15.66,RU,1577571051
27,castro,-42.48,-73.76,66.2,55,52,5.82,CL,1577571051
28,chokurdakh,70.62,147.9,-35.25,95,19,4.94,RU,1577571051
29,codrington,-28.95,153.24,75.99,82,100,1.12,AU,1577571051
30,butaritari,3.07,172.79,83.3,82,4,13.42,KI,1577571051
31,krasnokamensk,50.1,118.04,-15.9,89,100,8.12,RU,1577571052
32,aklavik,68.22,-135.01,-25.6,74,90,3.36,CA,1577571052
33,tuktoyaktuk,69.44,-133.03,-34.6,73,40,8.05,CA,1577571052
34,bredasdorp,-34.53,20.04,66.2,68,100,13.87,ZA,1577571052
35,barrow,-38.31,-60.23,78.26,70,1,13.27,AR,1577571052
36,mayo,63.59,-135.9,-11.2,69,90,4.7,CA,1577571053
37,hithadhoo,-0.6,73.08,82.02,78,100,9.64,MV,1577570886
38,peleduy,59.63,112.75,-20.65,95,100,6.11,RU,1577571053
39,port blair,11.67,92.75,79.54,82,6,12.86,IN,1577571053
40,haicheng,40.85,122.74,29.95,89,3,6.67,CN,1577571053
41,yueyang,29.36,113.12,45.34,87,99,4.29,CN,1577571054
42,port elizabeth,39.31,-74.98,54.0,57,1,4.7,US,1577571054
43,dovers,12.88,-61.18,80.6,78,40,12.75,VC,1577571054
44,constitucion,23.99,-104.67,64.4,10,90,18.34,MX,1577570934
45,saskylakh,71.97,114.09,-21.05,95,87,8.23,RU,1577571054
46,castellarano,44.51,10.73,39.0,80,1,5.82,IT,1577571055
47,sitka,37.17,-99.65,59.45,52,98,12.46,US,1577571055
48,manzanillo,19.05,-104.32,86.0,74,75,11.41,MX,1577571055
49,severo-kurilsk,50.68,156.12,27.14,96,100,31.65,RU,1577570911
50,isangel,-19.55,169.27,80.6,78,62,14.99,VU,1577571056
51,the hammocks,25.67,-80.44,79.0,74,75,12.75,US,1577571056
52,mar del plata,-46.43,-67.52,73.42,29,0,12.97,AR,1577571056
53,udachnyy,66.42,112.4,-25.6,67,0,4.47,RU,1577571057
54,khatanga,71.98,102.47,-23.76,89,47,7.72,RU,1577570884
55,saldanha,41.42,-6.55,43.09,56,0,3.65,PT,1577571057
56,dryden,49.79,-92.84,17.6,92,90,4.7,CA,1577571057
57,kapaa,22.08,-159.32,78.8,83,90,20.8,US,1577571057
58,san ramon,12.92,-85.84,73.4,78,75,4.7,NI,1577571058
59,ilulissat,69.22,-51.1,3.2,71,100,4.7,GL,1577571058
60,punta cardon,11.61,-70.22,82.15,75,33,28.03,VE,1577571058
61,deputatskiy,69.3,139.9,-27.6,77,0,5.01,RU,1577570942
62,neyshabur,36.21,58.79,40.87,51,2,1.99,IR,1577570873
63,paita,-5.09,-81.11,62.6,100,38,16.71,PE,1577571059
64,lagoa,37.14,-8.45,60.01,71,0,8.05,PT,1577570881
65,leningradskiy,69.38,178.42,-12.14,84,0,0.69,RU,1577570898
66,carnarvon,-30.97,22.13,69.8,29,65,13.49,ZA,1577571059
67,alamosa,37.47,-105.87,28.0,73,1,4.7,US,1577571059
68,mamou,10.37,-12.08,69.84,31,0,1.41,GN,1577571060
69,ionia,42.99,-85.07,41.0,74,40,8.05,US,1577571060
70,pisco,-13.71,-76.2,72.0,30,5,12.75,PE,1577571043
71,albany,42.65,-73.75,39.2,60,40,4.7,US,1577571060
72,abha,18.22,42.5,51.8,87,0,4.7,SA,1577571060
73,georgetown,6.8,-58.16,84.2,79,20,6.93,GY,1577570951
74,atuona,-9.8,-139.03,81.1,78,24,15.75,PF,1577571061
75,port hardy,50.7,-127.42,44.6,87,90,21.92,CA,1577571061
76,matamba,-8.97,33.96,56.95,93,100,1.21,TZ,1577571061
77,sur,22.57,59.53,69.69,69,6,2.1,OM,1577571061
78,cabo san lucas,22.89,-109.91,75.0,56,75,4.7,MX,1577570870
79,airai,-8.93,125.41,68.99,86,100,5.48,TL,1577571062
80,port moresby,-9.47,147.16,78.8,88,20,4.7,PG,1577571063
81,kodiak,39.95,-94.76,55.99,93,90,9.17,US,1577571063
82,ko samui,9.54,99.94,80.11,78,62,15.9,TH,1577570895
83,codajas,-3.84,-62.06,85.1,75,95,3.96,BR,1577571063
84,kahului,20.89,-156.47,82.4,65,20,20.8,US,1577571064
85,bluff,-23.58,149.07,71.94,70,66,15.32,AU,1577571064
86,murchison,-36.62,145.22,82.0,29,0,6.13,AU,1577571064
87,waingapu,-9.65,120.26,84.78,75,100,5.03,ID,1577571064
88,serenje,-13.23,30.22,65.34,97,100,6.76,ZM,1577571065
89,esperance,-33.86,121.89,62.6,77,0,12.75,AU,1577571065
90,kedrovyy,56.17,91.82,-31.0,66,20,5.17,RU,1577571065
91,antigonish,45.62,-61.99,32.0,77,90,23.04,CA,1577571066
92,oka,45.46,-74.09,36.0,74,20,12.75,CA,1577571063
93,pochutla,15.74,-96.47,84.2,70,40,17.22,MX,1577571066
94,castres,43.6,2.24,45.0,93,90,3.36,FR,1577571066
95,crawfordsville,40.04,-86.9,59.0,81,90,9.17,US,1577571066
96,punta arenas,-53.16,-70.91,62.6,45,40,35.57,CL,1577571067
97,vostok,46.45,135.83,-11.51,93,4,3.47,RU,1577571067
98,almeirim,-1.53,-52.58,82.02,80,34,4.7,BR,1577571067
99,narsaq,60.91,-46.05,26.6,86,100,0.72,GL,1577571067
100,kaitangata,-46.28,169.85,52.0,79,100,1.99,NZ,1577570868
101,san patricio,-26.98,-56.83,98.02,36,47,4.0,PY,1577571068
102,thompson,55.74,-97.86,3.2,84,75,1.57,CA,1577571068
103,yellowknife,62.45,-114.38,-6.0,76,90,8.05,CA,1577570883
104,caucel,21.02,-89.71,84.2,48,40,8.05,MX,1577571068
105,kiama,-34.67,150.86,73.0,78,90,4.7,AU,1577571068
106,puerto ayora,-0.74,-90.35,80.6,69,20,9.17,EC,1577571069
107,vitina,41.43,24.76,42.01,59,8,5.08,GR,1577571069
108,yulara,-25.24,130.99,84.2,48,75,11.41,AU,1577570912
109,anina,45.09,21.85,33.01,87,87,19.46,RO,1577571069
